,name,rating,id,sentiment,director,scriptwriter,starring,genre,date,total_people,running_time
1646,黑海夺金,6.8,10581884,0.999999955688694,['凯文·麦克唐纳'],['丹尼斯·凯利'],"['裘德·洛', '朱迪·惠特克', '本·门德尔森', '托比亚斯·门基斯', '斯科特·麦克纳里']",惊悚,2016-09-09(中国大陆),49818,114
1648,夜魔人,3.9,26853088,0.017177505044244312,['张坤一'],['张坤一'],"['韦娜', '鹿凌桀', '娜仁花', '杜玉明', '李龙君']",悬疑,2016-09-09(中国大陆),1141,89
1649,荒村凶间,3.1,26646380,0.0023154340488374947,['陆诗雨'],['于传松'],"['惠英红', '蔡俊涛', '贾琳', '唐国忠', '晨媛儿']",悬疑,2016-09-09(中国大陆),1141,86
1650,大话西游3,3.6,26284595,0.9030881869809045,['刘镇伟'],['刘镇伟'],"['韩庚', '唐嫣', '吴京', '莫文蔚', '张超']",喜剧,2016-09-14(中国大陆),536,93
1651,追凶者也,7.6,26284621,1.0,['曹保平'],"['张天辉', '阳建军', '曹保平']","['刘烨', '张译', '段博文', '王子文', '谭卓']",剧情,2016-09-14(中国大陆),536,110
1652,我的战争,4.9,25945350,0.9999999999086138,['彭顺'],['刘恒'],"['刘烨', '王珞丹', '杨祐宁', '叶青', '黄志忠']",剧情,2016-09-15(中国大陆),150257,124
1653,爱的蟹逅,5.9,26738093,0.9934795665293616,['崔轶'],['葛凤章'],"['黄世超', '程予希', '谢君豪', '俞小凡', '廖威廉']",爱情,2016-09-15(中国大陆),150257,90
1654,神兽金刚之青龙再现,3.6,26767508,0.06585076605458617,"['朱晓兵', '黄贻青']",['蔡岳生'],"['黄健', '李仲鑫', '谢安晟', '泽飞', '陈蔡瑜']",动画,2016-09-15(中国大陆),192,87
1655,逗鸟外传：萌宝满天飞,7.5,26374205,1.0,"['尼古拉斯·斯托勒', '道格·斯威特兰德']",['尼古拉斯·斯托勒'],"['安迪·萨姆伯格', '凯蒂·克朗', '凯尔希·格兰莫', '詹妮弗·安妮斯顿', '泰·布利尔']",喜剧,2016-09-23(中国大陆/美国),192,87
1656,234说爱你,6.1,20472738,1.0,['张玮真'],['吴美枝'],"['秦昊', '林依晨', '简宏霖', '蔡淑臻', '周姮吟']",爱情,2016-09-23(中国大陆),19530,95
1657,三个孬家伙,4.8,26873166,0.9999579761964749,['李春啸'],['李春啸'],"['刘桦', '来喜', '于非', '朱博']",喜剧,2016-09-23(中国大陆),19530,86
1658,从你的全世界路过,5.3,26280528,0.999301060652447,['张一白'],['张嘉佳'],"['邓超', '白百何', '杨洋', '张天爱', '岳云鹏']",喜剧,2016-09-29(中国大陆),50312,113
